accession	accession_version	strain	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	authors	institution	url
AB908162	AB908162.1	AB908162	2014-01-06	Oceania	French Polynesia			467	Homo sapiens	2014-02-07	2017-03-30		Kutsuna et al.	Chigasaki, Kanagawa 253-0087	https://www.ncbi.nlm.nih.gov/nuccore/AB908162
AF013415	AF013415.1	AF013415	XXXX-XX-XX					1029		1997-12-30	1998-01-16		Kuno et al.	Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/AF013415
AF372422	AF372422.1	AF372422	XXXX-XX-XX					830		2001-08-16	2016-07-23		Gaunt et al.	London School of Hygiene and Tropical Medicine, Infectious and Tropical Diseases	https://www.ncbi.nlm.nih.gov/nuccore/AF372422
AY326412	AY326412.1	AY326412	XXXX-XX-XX					314		2004-07-01	2004-09-03		Mutebi et al.	University of Texas Medical Branch, Center for Tropical Diseases and Department of Pathology	https://www.ncbi.nlm.nih.gov/nuccore/AY326412
AY632535	AY632535.2	AY632535	XXXX-XX-XX	Africa	Uganda			10794	Simiiformes	2005-10-30	2010-11-23		Kuno et al.	Centers for Disease Control and Prevention, Arbovirus Diseases Branch, Division of Vector-Borne Infectious Diseases	https://www.ncbi.nlm.nih.gov/nuccore/AY632535
DI450454	DI450454.1	DI450454	XXXX-XX-XX					397		2015-08-20	2015-08-20		Manuguerra et al.		https://www.ncbi.nlm.nih.gov/nuccore/DI450454
DQ859059	DQ859059.1	DQ859059	XXXX-XX-XX	Africa	Uganda			10254		2009-09-16	2009-12-24		Grard et al.	Unite des Virus Emergents	https://www.ncbi.nlm.nih.gov/nuccore/DQ859059
EU074027	EU074027.1	EU074027	XXXX-XX-XX	Africa	Uganda			232		2008-02-21	2016-07-26		Moureau et al.	Unite des Virus Emergents, Faculte de Medecine	https://www.ncbi.nlm.nih.gov/nuccore/EU074027
EU303241	EU303241.1	EU303241	XXXX-XX-XX					766		2008-02-05	2016-07-26		Maher-Sturgess et al.	University of Queensland, Australian Biosecurity CRC	https://www.ncbi.nlm.nih.gov/nuccore/EU303241
EU545988	EU545988.1	EU545988	2007-06-XX	Oceania	Micronesia			10272	Homo sapiens	2008-07-01	2008-07-30		Lanciotti et al.	CDC, DVBID, ADB, DRS	https://www.ncbi.nlm.nih.gov/nuccore/EU545988
HQ234498	HQ234498.1	HQ234498	1947-XX-XX	Africa	Uganda			10269	Simiiformes	2012-03-19	2012-03-19		Haddow et al.	University of Texas Medical Branch, Department of Pathology	https://www.ncbi.nlm.nih.gov/nuccore/HQ234498
HQ234499	HQ234499.1	HQ234499	1966-XX-XX	Asia	Malaysia			10269	Aedes aegypti	2012-03-19	2012-03-19		Haddow et al.	University of Texas Medical Branch, Department of Pathology	https://www.ncbi.nlm.nih.gov/nuccore/HQ234499
